gene,day1r1,day1r2,day1r3,day3r1,day3r2,day3r3,day6r1,day6r2,day6r3,day9r2,day9r3
Cbr-arle-14,10.36148018,10.42045905,10.37384712,10.90343353,11.16449565,11.09521818,11.03943425,11.16936935,11.21567757,10.14589034,10.02665671
CBG08996,9.611928942,9.68626015,9.469745919,10.2775365,10.43218901,10.30862772,10.35385281,10.52306005,10.37764736,9.462304211,9.462208889
CBG08997,9.868733485,9.826391905,9.824884783,10.14481606,10.28361998,10.15883669,10.32126471,10.3452746,10.09359878,9.36757437,9.3371641
Cbr-lgg-3,8.681117729,8.61911025,8.54179013,8.960556228,9.044957199,8.966070254,9.147638526,9.212235124,9.004238574,8.232497638,8.290304445
Cbr-rgs-5,7.661567055,7.755159147,7.881600404,7.609165037,7.605564796,7.625753696,7.242078967,7.543155193,7.507794723,8.321655666,8.371284284
Cbr-swp-1,11.76548608,11.69897456,11.67068071,12.16493787,12.18423188,12.14618796,11.97822003,11.94852706,12.05346478,11.4807779,11.29585147
Cbr-rpl-23,15.31243539,15.33105483,15.30206112,15.0629944,15.1040094,15.25441857,15.21248869,15.30570254,15.02022645,14.75651375,14.93194663
Cbr-hpo-28,7.519781797,7.50402204,7.531139414,6.873584437,7.108015422,6.872175597,6.725012809,6.513963253,6.553428608,8.250080613,8.488397642
Cbr-rbm-26,11.95683332,11.86525041,11.91992697,12.50238422,12.52269363,12.49483818,12.31249174,12.240916,12.4507544,11.95667844,11.68470319
Cbr-arf-1.2,12.82456451,12.98490033,12.89990218,12.79086718,12.90560287,12.89961559,12.57543037,12.61631568,12.73683328,12.49787507,12.58908318
Cbr-wrm-1,10.99091758,10.84721345,10.86517339,11.64430095,11.65624874,11.61321211,11.42950569,11.36933992,11.5867596,10.68310793,10.57695026
CBG09008,7.928107765,8.120553656,8.199758675,5.109620104,4.834296272,5.772925789,4.348656253,4.96396192,4.348656253,6.560035564,6.874323932
CBG09010,7.806393072,7.880090713,7.943483583,7.394223671,7.570217045,7.625753696,6.9388882,7.122652962,7.344545402,7.787687172,7.622525389
CBG09014,7.545486666,7.78591769,7.574654352,7.933123413,8.038364803,7.706631716,7.340613791,7.600866744,7.416847702,7.039786257,6.816023146
Cbr-kin-5.2,9.489626754,9.275463244,9.403662165,4.833249248,5.306821173,6.144712195,5.248263189,5.279462568,4.653694044,7.885757485,7.877816724
Cbr-ift-139,6.297453138,6.30131501,6.346210245,5.981465172,5.954693518,5.485674143,5.721078359,5.453390169,5.987824965,6.271013193,6.225055811
CBG09017,6.850120802,6.945059928,6.922274132,6.667247813,6.949760651,6.645975685,5.643123609,5.841417398,6.07705853,7.438455688,7.460341501
CBG09020,7.513281573,7.49657316,7.730042485,5.180381281,5.306821173,5.863323981,5.364222612,5.279462568,5.50135753,6.937050733,6.885689309
Cbr-cyk-3,11.36930911,11.20741796,11.27673195,12.17003193,12.04993285,11.94562527,11.93881569,11.79047396,11.83620079,11.14226403,10.8775111
Cbr-npp-10,13.48010513,13.16343155,13.30608227,14.07352231,13.93134515,13.91168995,13.93394896,13.77776069,13.78205841,13.1910456,12.92087761
Cbr-eftu-2,12.42322765,12.33251903,12.32332695,12.83070179,12.75663639,12.79281422,12.65340746,12.59131763,12.66147374,12.19470129,12.03282214
Cbr-gcna-1,11.72090955,11.6775882,11.67439166,12.48642985,12.50255537,12.50097338,12.41424191,12.37572011,12.48267626,11.40427971,11.23141336
CBG09025,11.75089346,11.52553352,11.60608864,12.30085086,12.27522154,12.19777455,12.21370694,12.10005714,12.19774038,11.67924349,11.41953375
Cbr-frm-2,8.68970462,8.856440653,8.924275952,8.568302958,8.680496599,8.529991026,8.764430327,8.907195284,9.125073114,9.321913372,9.405841695
Cbr-mlp-1,11.39485489,11.41136681,11.36918575,9.190240403,9.22451713,9.46003675,8.880119437,9.009205828,9.042318283,10.23475394,10.60307194
Cbr-dct-6,9.77116266,9.643585389,9.790325249,9.268404596,9.140521908,9.13624913,8.887272879,8.825637038,9.136851215,9.998291456,9.916706035
Cbr-nop-1,12.17386041,12.13588365,12.09718693,12.70172072,12.74468372,12.67927424,12.5992692,12.53083951,12.68048496,12.01951947,11.69883586
Cbr-nono-1,11.62925507,11.60847614,11.59612372,12.00595005,12.05191386,12.03501499,11.97738385,12.00023686,12.06274387,11.26529236,11.19309805
CBG09035,11.68315717,11.92434523,11.93272196,11.68146855,11.74267697,11.80352387,11.92890223,11.92265937,11.96385443,12.0740974,12.10858734
CBG09036,10.35431253,10.16950868,10.21755048,10.52597702,10.54790275,10.59438165,10.68108793,10.68351651,10.59366027,10.10124721,10.05746116
Cbr-ubq-1,15.02021384,14.99687277,14.98305052,15.65221933,15.68235416,15.69711854,15.61506048,15.60488744,15.73234658,15.04921104,14.87487153
CBG09038,7.684835116,7.723718214,7.875838784,5.638614814,5.557022056,5.603074223,5.758009488,5.599681391,5.987824965,6.328647534,6.332792489
CBG09039,5.367580205,5.347044936,5.209020287,5.59745139,5.111242188,5.249179952,5.682824117,5.841417398,5.50135753,5.510801458,5.492881335
CBG09040,6.030311199,6.187771174,5.930661095,6.010664721,5.464914717,5.973600591,6.321460957,6.449910927,6.706327356,6.756660872,6.755092965
Cbr-pxl-1,10.00658341,10.19813738,10.16457698,9.058131606,9.101216332,9.133615595,8.865704849,8.642628244,8.788119659,9.758750186,9.951236979
Cbr-dpff-1,10.54107624,10.72507225,10.58838404,11.07231245,11.27174201,11.16256598,11.12120479,11.07689846,11.29865729,10.36740495,10.26172251
Cbr-erd-2.2,11.30664478,11.35299883,11.32107139,11.67840757,11.84127147,11.83907176,11.69918648,11.76314352,11.92401732,11.38776946,11.38741318
CBG09045,13.31828329,13.01497268,13.16359469,13.64965783,13.43374673,13.47774616,13.23961103,13.07251629,13.07694641,13.05339898,12.90267758
Cbr-tdo-2,10.98396903,10.93825771,11.02937599,10.78224466,10.72423779,10.67619277,10.4701884,10.55468751,10.61400428,10.83814664,10.94757855
CBG09047,5.367580205,5.150713845,5.032536889,5.678194612,5.512069586,5.301949903,5.183397053,5.279462568,5.200608361,5.386848306,4.775941943
Cbr-dnc-2,10.12187965,10.26893696,10.05999463,10.77748396,10.81289512,10.83358241,10.71158071,10.84275193,10.86166099,9.998291456,10.05624154
