Geneid	"RNA STAR on data 17, data 15, and data 56: mapped.bam"	Public Name
WBGene00000001	3137	aap-1
WBGene00000002	120	aat-1
WBGene00000003	291	aat-2
WBGene00000004	810	aat-3
WBGene00000005	108	aat-4
WBGene00000006	134	aat-5
WBGene00000007	104	aat-6
WBGene00000008	10	aat-7
WBGene00000009	13	aat-8
WBGene00000010	2163	aat-9
WBGene00000012	56	abf-1
WBGene00000013	4559	abf-2
WBGene00000014	0	abf-3
WBGene00000015	3	abf-4
WBGene00000016	362	abf-5
WBGene00000017	348	abf-6
WBGene00000018	1146	abl-1
WBGene00000019	38	abt-1
WBGene00000020	596	abt-2
WBGene00000021	3	abt-3
WBGene00000022	1309	abt-4
WBGene00000023	59	abt-5
WBGene00000024	0	abu-1
WBGene00000025	2	abu-2
WBGene00000026	3	abu-3
WBGene00000027	1	abu-4
WBGene00000028	0	abu-5
WBGene00000029	0	abu-6
WBGene00000030	0	abu-7
WBGene00000031	1	abu-8
WBGene00000032	0	abu-9
WBGene00000033	60	abu-10
WBGene00000034	10	abu-11
WBGene00000035	147	ace-1
WBGene00000036	138	ace-2
WBGene00000037	89	ace-3
WBGene00000038	21	ace-4
WBGene00000039	195	acn-1
WBGene00000040	2530	aco-1
WBGene00000041	11887	aco-2
WBGene00000042	8	acr-2
WBGene00000043	10	acr-3
WBGene00000044	22	acr-5
WBGene00000045	6	acr-6
WBGene00000046	17	acr-7
WBGene00000047	19	acr-8
WBGene00000048	22	acr-9
WBGene00000049	10	acr-10
WBGene00000050	59	acr-11
WBGene00000051	53	acr-12
WBGene00000053	7	acr-14
WBGene00000054	90	acr-15
WBGene00000055	52	acr-16
WBGene00000056	73	acr-17
WBGene00000057	39	acr-18
WBGene00000058	43	acr-19
WBGene00000059	34	acr-20
WBGene00000060	22	acr-21
WBGene00000061	14	lgc-11
WBGene00000062	3	acr-23
WBGene00000063	4164	act-1
WBGene00000064	20652	act-2
WBGene00000065	10514	act-3
WBGene00000066	11529	act-4
WBGene00000067	1047	act-5
WBGene00000068	228	acy-1
WBGene00000069	26	acy-2
WBGene00000070	130	acy-3
WBGene00000071	226	acy-4
WBGene00000072	148	add-1
WBGene00000073	703	add-2
WBGene00000074	1046	adm-2
WBGene00000075	744	adm-4
WBGene00000079	791	adr-1
WBGene00000080	4644	adr-2
WBGene00000081	1935	ads-1
WBGene00000082	18	adt-1
WBGene00000083	260	adt-2
WBGene00000084	143	aex-1
WBGene00000085	20	aex-2
WBGene00000086	159	aex-3
WBGene00000088	200	aex-5
WBGene00000089	93	aex-6
WBGene00000090	2684	age-1
WBGene00000092	948	ags-3
WBGene00000093	1116	agt-1
WBGene00000094	2912	agt-2
WBGene00000095	599	aha-1
WBGene00000096	22	ahr-1
WBGene00000097	2420	aip-1
WBGene00000098	10378	air-1
WBGene00000099	4964	air-2
WBGene00000100	2082	ajm-1
WBGene00000101	10973	aka-1
WBGene00000102	8577	akt-1
WBGene00000103	551	akt-2
WBGene00000105	1230	alg-1
WBGene00000106	3506	alg-2
WBGene00000107	5330	alh-1
WBGene00000108	0	alh-2
WBGene00000109	1727	alh-3
WBGene00000110	4728	alh-4
WBGene00000111	150	alh-5
WBGene00000112	1216	alh-6
WBGene00000113	942	alh-7
WBGene00000114	26718	alh-8
WBGene00000115	2619	alh-9
WBGene00000116	356	alh-10
WBGene00000117	2025	alh-11
WBGene00000118	386	alh-12
WBGene00000120	2408	aly-1
