Geneid	"RNA STAR on data 17, data 15, and data 9: mapped.bam"	Public Name
WBGene00000227	10054	atm-1
WBGene00000228	3478	atn-1
WBGene00000229	142571	atp-2
WBGene00000230	30384	atp-3
WBGene00000231	28201	atx-2
WBGene00000232	193	avr-14
WBGene00000233	413	avr-15
WBGene00000235	7827	baf-1
WBGene00000236	4119	bag-1
WBGene00000237	1812	bam-2
WBGene00000238	739	bar-1
WBGene00000239	445	bas-1
WBGene00000240	2607	pah-1
WBGene00000241	35	bbs-1
WBGene00000242	40	bbs-2
WBGene00000244	31	bbs-8
WBGene00000245	907	bca-1
WBGene00000246	243	bcc-1
WBGene00000247	3309	bec-1
WBGene00000248	2877	ben-1
WBGene00000249	3569	bir-1
WBGene00000250	5023	bir-2
WBGene00000251	15	bli-1
WBGene00000252	11	bli-2
WBGene00000253	1223	bli-3
WBGene00000254	28255	bli-4
WBGene00000255	5	bli-5
WBGene00000256	12	bli-6
WBGene00000257	16668	bmk-1
WBGene00000259	2963	bpl-1
WBGene00000262	580	bra-1
WBGene00000263	11452	F23H11.5
WBGene00000264	3835	brc-1
WBGene00000265	5291	brd-1
WBGene00000266	792	bre-1
WBGene00000267	136	bre-2
WBGene00000268	7765	bre-3
WBGene00000269	2147	bre-4
WBGene00000270	1404	bre-5
WBGene00000271	7834	brf-1
WBGene00000272	73	bro-1
WBGene00000273	69057	brp-1
WBGene00000274	8940	btf-1
WBGene00000275	26841	bub-1
WBGene00000276	10915	byn-1
WBGene00000277	5797	cab-1
WBGene00000279	176	cah-1
WBGene00000280	98	cah-2
WBGene00000281	1460	cah-3
WBGene00000282	6299	cah-4
WBGene00000283	774	cah-5
WBGene00000284	94	cah-6
WBGene00000285	269	cal-1
WBGene00000286	326	cal-2
WBGene00000287	188	cal-3
WBGene00000288	124	cal-4
WBGene00000289	10078	cam-1
WBGene00000292	8418	cap-1
WBGene00000293	12786	cap-2
WBGene00000294	6815	cas-1
WBGene00000295	33	cat-1
WBGene00000296	55	cat-2
WBGene00000298	2664	cat-4
WBGene00000301	28010	cav-1
WBGene00000302	95	cav-2
WBGene00000308	0	C04A11.t1
WBGene00000310	0	C05C9.t1
WBGene00000311	0	C05C9.t2
WBGene00000366	30988	cbp-1
WBGene00000367	937	cca-1
WBGene00000368	487	ccb-1
WBGene00000369	12212	ccf-1
