Geneid	"RNA STAR on data 17, data 15, and data 5: mapped.bam"	Public Name
WBGene00000001	7111	aap-1
WBGene00000002	606	aat-1
WBGene00000003	331	aat-2
WBGene00000004	1111	aat-3
WBGene00000005	240	aat-4
WBGene00000006	187	aat-5
WBGene00000007	189	aat-6
WBGene00000008	23	aat-7
WBGene00000009	28	aat-8
WBGene00000010	3787	aat-9
WBGene00000012	56	abf-1
WBGene00000013	1167	abf-2
WBGene00000014	0	abf-3
WBGene00000015	2	abf-4
WBGene00000016	323	abf-5
WBGene00000017	372	abf-6
WBGene00000018	2053	abl-1
WBGene00000019	55	abt-1
WBGene00000020	1073	abt-2
WBGene00000021	4	abt-3
WBGene00000022	1955	abt-4
WBGene00000023	61	abt-5
WBGene00000024	3	abu-1
WBGene00000025	2	abu-2
WBGene00000026	0	abu-3
WBGene00000027	3	abu-4
WBGene00000028	0	abu-5
WBGene00000029	13	abu-6
WBGene00000030	14	abu-7
WBGene00000031	129	abu-8
WBGene00000032	0	abu-9
WBGene00000033	148	abu-10
WBGene00000034	115	abu-11
WBGene00000035	297	ace-1
WBGene00000036	358	ace-2
WBGene00000037	119	ace-3
WBGene00000038	22	ace-4
WBGene00000039	451	acn-1
WBGene00000040	6437	aco-1
WBGene00000041	53713	aco-2
WBGene00000042	29	acr-2
WBGene00000043	14	acr-3
WBGene00000044	38	acr-5
WBGene00000045	5	acr-6
WBGene00000046	20	acr-7
WBGene00000047	52	acr-8
WBGene00000048	31	acr-9
WBGene00000049	14	acr-10
WBGene00000050	77	acr-11
WBGene00000051	68	acr-12
WBGene00000053	8	acr-14
WBGene00000054	102	acr-15
WBGene00000055	127	acr-16
WBGene00000056	121	acr-17
WBGene00000057	79	acr-18
WBGene00000058	107	acr-19
WBGene00000059	49	acr-20
WBGene00000060	22	acr-21
WBGene00000061	13	lgc-11
WBGene00000062	13	acr-23
WBGene00000063	4716	act-1
WBGene00000064	59151	act-2
WBGene00000065	9212	act-3
WBGene00000066	16648	act-4
WBGene00000067	5714	act-5
WBGene00000068	447	acy-1
WBGene00000069	48	acy-2
