Geneid	"RNA STAR on data 17, data 15, and data 16: mapped.bam"	Public Name
WBGene00000001	5430	aap-1
WBGene00000002	420	aat-1
WBGene00000003	658	aat-2
WBGene00000004	1856	aat-3
WBGene00000005	546	aat-4
WBGene00000006	408	aat-5
WBGene00000007	687	aat-6
WBGene00000008	51	aat-7
WBGene00000009	42	aat-8
WBGene00000010	3496	aat-9
WBGene00000012	33	abf-1
WBGene00000013	45	abf-2
WBGene00000014	0	abf-3
WBGene00000015	9	abf-4
WBGene00000016	166	abf-5
WBGene00000017	207	abf-6
WBGene00000018	3017	abl-1
WBGene00000019	96	abt-1
WBGene00000020	1171	abt-2
WBGene00000021	16	abt-3
WBGene00000022	3698	abt-4
WBGene00000023	136	abt-5
WBGene00000024	54	abu-1
WBGene00000025	4	abu-2
WBGene00000026	1	abu-3
WBGene00000027	7	abu-4
WBGene00000028	0	abu-5
WBGene00000029	59	abu-6
WBGene00000030	56	abu-7
WBGene00000031	233	abu-8
WBGene00000032	0	abu-9
WBGene00000033	220	abu-10
WBGene00000034	305	abu-11
WBGene00000035	421	ace-1
WBGene00000036	925	ace-2
WBGene00000037	239	ace-3
WBGene00000038	69	ace-4
WBGene00000039	1337	acn-1
WBGene00000040	15021	aco-1
WBGene00000041	54960	aco-2
WBGene00000042	38	acr-2
WBGene00000043	23	acr-3
WBGene00000044	51	acr-5
WBGene00000045	4	acr-6
WBGene00000046	32	acr-7
WBGene00000047	154	acr-8
WBGene00000048	32	acr-9
WBGene00000049	20	acr-10
WBGene00000050	85	acr-11
WBGene00000051	105	acr-12
WBGene00000053	9	acr-14
WBGene00000054	154	acr-15
WBGene00000055	241	acr-16
WBGene00000056	61	acr-17
WBGene00000057	231	acr-18
WBGene00000058	46	acr-19
WBGene00000059	35	acr-20
WBGene00000060	28	acr-21
WBGene00000061	35	lgc-11
WBGene00000062	11	acr-23
WBGene00000063	13379	act-1
WBGene00000064	77534	act-2
WBGene00000065	22555	act-3
WBGene00000066	89315	act-4
WBGene00000067	32591	act-5
WBGene00000068	648	acy-1
WBGene00000069	73	acy-2
WBGene00000070	754	acy-3
WBGene00000071	659	acy-4
WBGene00000072	529	add-1
WBGene00000073	1516	add-2
WBGene00000074	1859	adm-2
WBGene00000075	1866	adm-4
WBGene00000079	5040	adr-1
WBGene00000080	6342	adr-2
WBGene00000081	11260	ads-1
WBGene00000082	185	adt-1
WBGene00000083	3734	adt-2
WBGene00000084	554	aex-1
WBGene00000085	53	aex-2
WBGene00000086	670	aex-3
WBGene00000088	913	aex-5
WBGene00000089	182	aex-6
WBGene00000090	7727	age-1
WBGene00000092	2201	ags-3
WBGene00000093	1467	agt-1
WBGene00000094	2265	agt-2
WBGene00000095	1369	aha-1
WBGene00000096	74	ahr-1
WBGene00000097	2769	aip-1
WBGene00000098	17322	air-1
WBGene00000099	6967	air-2
WBGene00000100	7633	ajm-1
WBGene00000101	22801	aka-1
WBGene00000102	15085	akt-1
WBGene00000103	583	akt-2
WBGene00000105	6330	alg-1
WBGene00000106	8142	alg-2
WBGene00000107	16445	alh-1
WBGene00000108	3	alh-2
WBGene00000109	7366	alh-3
WBGene00000110	9364	alh-4
WBGene00000111	303	alh-5
WBGene00000112	6790	alh-6
WBGene00000113	1730	alh-7
WBGene00000114	81837	alh-8
WBGene00000115	14027	alh-9
WBGene00000116	1972	alh-10
WBGene00000117	3248	alh-11
WBGene00000118	3023	alh-12
WBGene00000120	2044	aly-1
WBGene00000121	17793	aly-2
WBGene00000122	16270	aly-3
WBGene00000123	14319	ama-1
WBGene00000133	27	amt-1
WBGene00000134	35	amt-2
WBGene00000135	79	amt-3
WBGene00000136	2315	amt-4
WBGene00000137	1452	amx-1
WBGene00000138	940	amx-2
WBGene00000139	332	amx-3
WBGene00000140	5424	anc-1
WBGene00000142	7486	aos-1
WBGene00000143	6333	apc-2
WBGene00000144	1903	apc-10
WBGene00000145	2938	apc-11
WBGene00000146	16102	ape-1
WBGene00000147	2751	aph-1
WBGene00000148	4283	aph-2
WBGene00000149	14137	apl-1
WBGene00000150	1446	apm-1
WBGene00000151	5229	apn-1
WBGene00000155	16636	app-1
WBGene00000156	13071	apr-1
WBGene00000157	1369	aps-2
WBGene00000158	7341	apg-1
WBGene00000159	3528	aps-1
WBGene00000160	8550	apb-1
WBGene00000161	4316	apa-2
WBGene00000162	5135	apd-3
WBGene00000163	9102	apb-3
WBGene00000164	1540	apm-3
WBGene00000165	5442	aps-3
WBGene00000166	63	apt-9
WBGene00000168	8432	apx-1
WBGene00000169	1550	aqp-1
WBGene00000170	11438	aqp-2
WBGene00000171	35	aqp-3
WBGene00000172	579	aqp-4
WBGene00000173	12	aqp-5
WBGene00000174	41	aqp-6
WBGene00000175	11008	aqp-7
WBGene00000176	7823	aqp-8
WBGene00000177	268	aqp-9
WBGene00000178	3611	aqp-10
WBGene00000179	2204	aqp-11
WBGene00000180	972	arc-1
WBGene00000181	11078	ard-1
WBGene00000182	25777	arf-1
WBGene00000183	25399	arf-5
WBGene00000184	2426	arf-6
WBGene00000185	2	arg-1
WBGene00000186	4337	ark-1
WBGene00000187	3113	arl-1
WBGene00000188	103	arl-3
WBGene00000189	1338	arl-5
WBGene00000190	44	warf-1
WBGene00000191	23	arl-7
WBGene00000192	12007	arl-8
WBGene00000193	36	arl-6
WBGene00000195	1690	arr-1
WBGene00000196	2496	aars-1
WBGene00000197	26631	aars-2
WBGene00000198	15500	art-1
WBGene00000199	5993	arx-1
WBGene00000200	8668	arx-2
WBGene00000201	6365	arx-3
WBGene00000202	4666	exos-4.2
WBGene00000203	3349	arx-5
WBGene00000204	4335	arx-6
WBGene00000205	1888	arx-7
WBGene00000206	19536	asb-1
WBGene00000207	18951	asb-2
WBGene00000208	3262	trip-4
WBGene00000209	11637	asg-1
WBGene00000210	7874	asg-2
WBGene00000211	599	asm-1
WBGene00000212	1065	asm-2
WBGene00000213	233	asm-3
WBGene00000214	152394	asp-1
WBGene00000215	43420	asp-2
WBGene00000216	86022	asp-3
WBGene00000217	23133	asp-4
WBGene00000218	28831	asp-5
WBGene00000219	71333	asp-6
WBGene00000220	694	atf-2
WBGene00000221	0	atf-4
WBGene00000222	1260	atf-6
WBGene00000223	15934	atf-7
WBGene00000224	2043	atgp-1
WBGene00000225	1654	atgp-2
WBGene00000226	11229	atl-1
WBGene00000227	4386	atm-1
WBGene00000228	9902	atn-1
WBGene00000229	169480	atp-2
WBGene00000230	32492	atp-3
WBGene00000231	19813	atx-2
