Geneid	"RNA STAR on data 17, data 15, and data 10: mapped.bam"	Public Name
WBGene00000001	6850	aap-1
WBGene00000002	255	aat-1
WBGene00000003	422	aat-2
WBGene00000004	1565	aat-3
WBGene00000005	127	aat-4
WBGene00000006	242	aat-5
WBGene00000007	172	aat-6
WBGene00000008	11	aat-7
WBGene00000009	30	aat-8
WBGene00000010	4579	aat-9
WBGene00000012	66	abf-1
WBGene00000013	2805	abf-2
WBGene00000014	0	abf-3
WBGene00000015	1	abf-4
WBGene00000016	285	abf-5
WBGene00000017	353	abf-6
WBGene00000018	2707	abl-1
WBGene00000019	62	abt-1
WBGene00000020	1420	abt-2
WBGene00000021	6	abt-3
WBGene00000022	3278	abt-4
WBGene00000023	95	abt-5
WBGene00000024	0	abu-1
WBGene00000025	3	abu-2
WBGene00000026	2	abu-3
WBGene00000027	1	abu-4
WBGene00000028	0	abu-5
WBGene00000029	0	abu-6
WBGene00000030	1	abu-7
WBGene00000031	6	abu-8
WBGene00000032	0	abu-9
WBGene00000033	88	abu-10
WBGene00000034	30	abu-11
WBGene00000035	365	ace-1
WBGene00000036	368	ace-2
WBGene00000037	182	ace-3
WBGene00000038	28	ace-4
WBGene00000039	533	acn-1
WBGene00000040	7920	aco-1
WBGene00000041	46907	aco-2
WBGene00000042	21	acr-2
WBGene00000043	11	acr-3
WBGene00000044	39	acr-5
WBGene00000045	5	acr-6
WBGene00000046	16	acr-7
WBGene00000047	23	acr-8
WBGene00000048	29	acr-9
WBGene00000049	14	acr-10
WBGene00000050	67	acr-11
WBGene00000051	59	acr-12
WBGene00000053	6	acr-14
WBGene00000054	131	acr-15
WBGene00000055	108	acr-16
WBGene00000056	87	acr-17
WBGene00000057	65	acr-18
WBGene00000058	109	acr-19
WBGene00000059	63	acr-20
WBGene00000060	16	acr-21
WBGene00000061	16	lgc-11
WBGene00000062	4	acr-23
WBGene00000063	4830	act-1
WBGene00000064	58557	act-2
WBGene00000065	9952	act-3
WBGene00000066	18049	act-4
WBGene00000067	2532	act-5
WBGene00000068	438	acy-1
WBGene00000069	53	acy-2
WBGene00000070	404	acy-3
WBGene00000071	476	acy-4
WBGene00000072	320	add-1
WBGene00000073	1339	add-2
WBGene00000074	2045	adm-2
WBGene00000075	1679	adm-4
WBGene00000079	6572	adr-1
WBGene00000080	7975	adr-2
WBGene00000081	3846	ads-1
WBGene00000082	74	adt-1
WBGene00000083	654	adt-2
WBGene00000084	303	aex-1
WBGene00000085	22	aex-2
WBGene00000086	547	aex-3
WBGene00000088	344	aex-5
WBGene00000089	144	aex-6
WBGene00000090	8625	age-1
WBGene00000092	1756	ags-3
WBGene00000093	1489	agt-1
WBGene00000094	2282	agt-2
WBGene00000095	1247	aha-1
WBGene00000096	42	ahr-1
WBGene00000097	2289	aip-1
WBGene00000098	15292	air-1
WBGene00000099	6033	air-2
WBGene00000100	5345	ajm-1
WBGene00000101	26200	aka-1
WBGene00000102	17534	akt-1
WBGene00000103	1047	akt-2
WBGene00000105	4513	alg-1
WBGene00000106	7955	alg-2
WBGene00000107	13272	alh-1
WBGene00000108	0	alh-2
WBGene00000109	4494	alh-3
WBGene00000110	10242	alh-4
WBGene00000111	226	alh-5
WBGene00000112	2401	alh-6
WBGene00000113	2547	alh-7
WBGene00000114	53814	alh-8
WBGene00000115	4907	alh-9
WBGene00000116	702	alh-10
WBGene00000117	2994	alh-11
WBGene00000118	938	alh-12
WBGene00000120	2739	aly-1
WBGene00000121	18970	aly-2
WBGene00000122	12160	aly-3
WBGene00000123	25190	ama-1
WBGene00000133	5	amt-1
WBGene00000134	27	amt-2
WBGene00000135	94	amt-3
WBGene00000136	970	amt-4
WBGene00000137	1769	amx-1
WBGene00000138	500	amx-2
WBGene00000139	99	amx-3
WBGene00000140	4122	anc-1
WBGene00000142	7138	aos-1
WBGene00000143	6801	apc-2
WBGene00000144	2073	apc-10
WBGene00000145	3137	apc-11
WBGene00000146	19609	ape-1
WBGene00000147	3200	aph-1
WBGene00000148	3536	aph-2
WBGene00000149	12431	apl-1
WBGene00000150	1051	apm-1
WBGene00000151	4540	apn-1
WBGene00000155	16100	app-1
WBGene00000156	18039	apr-1
WBGene00000157	970	aps-2
WBGene00000158	6508	apg-1
WBGene00000159	2252	aps-1
WBGene00000160	7856	apb-1
WBGene00000161	4161	apa-2
WBGene00000162	6767	apd-3
WBGene00000163	13959	apb-3
WBGene00000164	1036	apm-3
WBGene00000165	4073	aps-3
WBGene00000166	32	apt-9
WBGene00000168	9677	apx-1
WBGene00000169	1608	aqp-1
WBGene00000170	3662	aqp-2
WBGene00000171	56	aqp-3
WBGene00000172	112	aqp-4
WBGene00000173	8	aqp-5
WBGene00000174	57	aqp-6
WBGene00000175	2015	aqp-7
WBGene00000176	2585	aqp-8
WBGene00000177	121	aqp-9
WBGene00000178	1291	aqp-10
WBGene00000179	679	aqp-11
WBGene00000180	616	arc-1
WBGene00000181	7623	ard-1
WBGene00000182	16963	arf-1
WBGene00000183	17890	arf-5
WBGene00000184	1772	arf-6
WBGene00000185	4	arg-1
WBGene00000186	4461	ark-1
WBGene00000187	2571	arl-1
WBGene00000188	59	arl-3
WBGene00000189	1531	arl-5
WBGene00000190	127	warf-1
WBGene00000191	37	arl-7
WBGene00000192	7936	arl-8
WBGene00000193	16	arl-6
WBGene00000195	1596	arr-1
WBGene00000196	1914	aars-1
WBGene00000197	30579	aars-2
WBGene00000198	7366	art-1
WBGene00000199	5108	arx-1
WBGene00000200	8632	arx-2
WBGene00000201	5802	arx-3
WBGene00000202	5788	exos-4.2
WBGene00000203	2385	arx-5
WBGene00000204	3162	arx-6
WBGene00000205	1499	arx-7
WBGene00000206	17228	asb-1
WBGene00000207	8614	asb-2
WBGene00000208	5186	trip-4
WBGene00000209	7987	asg-1
WBGene00000210	2687	asg-2
WBGene00000211	406	asm-1
WBGene00000212	1451	asm-2
WBGene00000213	2027	asm-3
WBGene00000214	64525	asp-1
WBGene00000215	11909	asp-2
WBGene00000216	73244	asp-3
WBGene00000217	17651	asp-4
WBGene00000218	39106	asp-5
WBGene00000219	73603	asp-6
WBGene00000220	168	atf-2
WBGene00000221	0	atf-4
WBGene00000222	1606	atf-6
WBGene00000223	13639	atf-7
WBGene00000224	1405	atgp-1
WBGene00000225	1005	atgp-2
WBGene00000226	11007	atl-1
WBGene00000227	7896	atm-1
WBGene00000228	2764	atn-1
WBGene00000229	115890	atp-2
WBGene00000230	26377	atp-3
WBGene00000231	20590	atx-2
WBGene00000232	141	avr-14
WBGene00000233	328	avr-15
WBGene00000235	6574	baf-1
WBGene00000236	3370	bag-1
WBGene00000237	1341	bam-2
WBGene00000238	553	bar-1
WBGene00000239	379	bas-1
WBGene00000240	2059	pah-1
WBGene00000241	32	bbs-1
WBGene00000242	41	bbs-2
WBGene00000244	37	bbs-8
WBGene00000245	685	bca-1
WBGene00000246	195	bcc-1
WBGene00000247	2947	bec-1
WBGene00000248	2544	ben-1
WBGene00000249	2935	bir-1
WBGene00000250	4185	bir-2
WBGene00000251	13	bli-1
WBGene00000252	10	bli-2
WBGene00000253	849	bli-3
WBGene00000254	22299	bli-4
WBGene00000255	9	bli-5
WBGene00000256	3	bli-6
WBGene00000257	13514	bmk-1
WBGene00000259	2445	bpl-1
WBGene00000262	423	bra-1
WBGene00000263	8542	F23H11.5
WBGene00000264	3039	brc-1
WBGene00000265	4385	brd-1
WBGene00000266	691	bre-1
WBGene00000267	98	bre-2
WBGene00000268	6463	bre-3
WBGene00000269	1742	bre-4
WBGene00000270	1068	bre-5
WBGene00000271	6789	brf-1
WBGene00000272	54	bro-1
WBGene00000273	50340	brp-1
WBGene00000274	7561	btf-1
WBGene00000275	21951	bub-1
WBGene00000276	9463	byn-1
WBGene00000277	4738	cab-1
WBGene00000279	165	cah-1
WBGene00000280	84	cah-2
WBGene00000281	1250	cah-3
WBGene00000282	4558	cah-4
WBGene00000283	666	cah-5
WBGene00000284	84	cah-6
WBGene00000285	177	cal-1
WBGene00000286	293	cal-2
WBGene00000287	155	cal-3
WBGene00000288	113	cal-4
WBGene00000289	8553	cam-1
WBGene00000292	6354	cap-1
WBGene00000293	10940	cap-2
WBGene00000294	5347	cas-1
WBGene00000295	38	cat-1
